VCD info: dumpfile waveforms/pll_full.vcd opened for output.

============================================
PLL STARTED
Reference clock = 10 MHz
TDC clock       = 200 MHz
Control clock   = 50 MHz
Divider         = 4
Initial VCO target approximately 40 MHz
Stable-lock requirement = 1000 ctrl cycles = 20.00 us
============================================

time=230000 state=2 error=-2 tuning=512 kp=0 ki=0 locked=0
time=330000 state=2 error=-1 tuning=512 kp=0 ki=0 locked=0
time=450000 state=2 error=1 tuning=512 kp=0 ki=0 locked=0
time=550000 state=2 error=2 tuning=512 kp=0 ki=0 locked=0
time=650000 state=2 error=3 tuning=512 kp=0 ki=0 locked=0
time=770000 state=2 error=5 tuning=512 kp=0 ki=0 locked=0
time=870000 state=2 error=6 tuning=512 kp=0 ki=0 locked=0
time=970000 state=2 error=7 tuning=512 kp=0 ki=0 locked=0
time=1090000 state=2 error=9 tuning=512 kp=0 ki=0 locked=0
time=1190000 state=2 error=10 tuning=512 kp=0 ki=0 locked=0
time=1290000 state=2 error=11 tuning=512 kp=0 ki=0 locked=0
time=1410000 state=2 error=13 tuning=512 kp=0 ki=0 locked=0
time=1510000 state=2 error=14 tuning=512 kp=0 ki=0 locked=0
time=1610000 state=2 error=15 tuning=512 kp=0 ki=0 locked=0
time=1730000 state=2 error=17 tuning=512 kp=0 ki=0 locked=0
time=1830000 state=2 error=18 tuning=512 kp=0 ki=0 locked=0
time=1930000 state=2 error=19 tuning=512 kp=0 ki=0 locked=0
time=2050000 state=2 error=21 tuning=512 kp=0 ki=0 locked=0
time=2150000 state=2 error=2 tuning=512 kp=0 ki=0 locked=0
time=2250000 state=2 error=3 tuning=512 kp=0 ki=0 locked=0
time=2370000 state=2 error=5 tuning=512 kp=0 ki=0 locked=0
time=2470000 state=2 error=6 tuning=512 kp=0 ki=0 locked=0
time=2570000 state=2 error=7 tuning=512 kp=0 ki=0 locked=0
time=2690000 state=2 error=9 tuning=512 kp=0 ki=0 locked=0
time=2790000 state=2 error=10 tuning=512 kp=0 ki=0 locked=0
time=2890000 state=2 error=11 tuning=512 kp=0 ki=0 locked=0
time=2990000 state=2 error=12 tuning=512 kp=0 ki=0 locked=0
time=3110000 state=2 error=14 tuning=512 kp=0 ki=0 locked=0
time=3210000 state=2 error=15 tuning=512 kp=0 ki=0 locked=0
time=3310000 state=2 error=16 tuning=512 kp=0 ki=0 locked=0
time=3430000 state=2 error=18 tuning=512 kp=0 ki=0 locked=0
time=3530000 state=2 error=19 tuning=512 kp=0 ki=0 locked=0
time=3630000 state=2 error=20 tuning=512 kp=0 ki=0 locked=0
time=3750000 state=2 error=2 tuning=512 kp=0 ki=0 locked=0
time=3850000 state=2 error=3 tuning=512 kp=0 ki=0 locked=0
time=3950000 state=2 error=4 tuning=512 kp=0 ki=0 locked=0
time=4070000 state=2 error=6 tuning=512 kp=0 ki=0 locked=0
time=4170000 state=2 error=7 tuning=512 kp=0 ki=0 locked=0
time=4270000 state=2 error=8 tuning=512 kp=0 ki=0 locked=0
time=4390000 state=2 error=10 tuning=512 kp=0 ki=0 locked=0
time=4490000 state=2 error=11 tuning=512 kp=0 ki=0 locked=0
time=4590000 state=2 error=12 tuning=512 kp=0 ki=0 locked=0
